rule,update_mode,dataset,N,M,load,noise_frac,noise_k,recall_accuracy,basin_width,spurious_rate,mean_convergence_iters,converged_fraction
hebbian,1,random,14,3,0.2143,0.1,1,0.98,1,0.08,2.0,1.0
hebbian,1,random,14,3,0.2143,0.15,2,0.88,1,0.08,1.98,1.0
hebbian,1,random,14,3,0.2143,0.2,3,0.76,1,0.08,2.0,1.0
hebbian,1,random,14,3,0.2143,0.25,4,0.64,1,0.08,2.1,1.0
hebbian,1,random,14,3,0.2143,0.3,4,0.64,1,0.08,2.06,1.0
hebbian,1,random,14,3,0.2143,0.35,5,0.28,1,0.08,2.06,1.0
hebbian,1,random,14,3,0.2143,0.4,6,0.22,1,0.08,2.06,1.0
hebbian,1,random,14,4,0.2857,0.0,0,1.0,0,0.14,1.0,1.0
hebbian,1,random,14,4,0.2857,0.05,1,1.0,1,0.14,2.0,1.0
hebbian,1,random,14,4,0.2857,0.1,1,1.0,1,0.14,2.0,1.0
hebbian,1,random,14,4,0.2857,0.15,2,0.82,1,0.14,2.0,1.0
hebbian,1,random,14,4,0.2857,0.2,3,0.74,1,0.14,2.12,1.0
hebbian,1,random,14,4,0.2857,0.25,4,0.44,1,0.14,2.48,1.0
hebbian,1,random,14,4,0.2857,0.3,4,0.42,1,0.14,2.28,1.0
hebbian,1,random,14,4,0.2857,0.35,5,0.16,1,0.14,2.28,1.0
hebbian,1,random,14,4,0.2857,0.4,6,0.12,1,0.14,2.2,1.0
hebbian,1,random,14,5,0.3571,0.0,0,0.76,0,0.39,1.48,1.0
hebbian,1,random,14,5,0.3571,0.05,1,0.58,0,0.39,2.4,1.0
hebbian,1,random,14,5,0.3571,0.1,1,0.64,0,0.39,2.38,1.0
hebbian,1,random,14,5,0.3571,0.15,2,0.56,0,0.39,2.4,1.0
hebbian,1,random,14,5,0.3571,0.2,3,0.2,0,0.39,2.52,1.0
hebbian,1,random,14,5,0.3571,0.25,4,0.16,0,0.39,2.58,1.0
hebbian,1,random,14,5,0.3571,0.3,4,0.24,0,0.39,2.54,1.0
hebbian,1,random,14,5,0.3571,0.35,5,0.14,0,0.39,2.46,1.0
hebbian,1,random,14,5,0.3571,0.4,6,0.04,0,0.39,2.46,1.0
hebbian,1,random,16,1,0.0625,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,16,1,0.0625,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.1,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.2,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.25,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.3,5,1.0,5,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.35,6,1.0,6,0.0,2.0,1.0
hebbian,1,random,16,1,0.0625,0.4,6,1.0,6,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,16,2,0.125,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.1,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.2,3,0.98,3,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.25,4,0.86,3,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.3,5,0.84,3,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.35,6,0.6,3,0.0,2.0,1.0
hebbian,1,random,16,2,0.125,0.4,6,0.62,3,0.0,2.0,1.0
hebbian,1,random,16,3,0.1875,0.0,0,1.0,0,0.26,1.0,1.0
hebbian,1,random,16,3,0.1875,0.05,1,1.0,1,0.26,2.0,1.0
hebbian,1,random,16,3,0.1875,0.1,2,0.94,2,0.26,2.0,1.0
hebbian,1,random,16,3,0.1875,0.15,2,0.98,2,0.26,2.0,1.0
hebbian,1,random,16,3,0.1875,0.2,3,0.72,2,0.26,2.02,1.0
hebbian,1,random,16,3,0.1875,0.25,4,0.7,2,0.26,2.02,1.0
hebbian,1,random,16,3,0.1875,0.3,5,0.46,2,0.26,2.06,1.0
hebbian,1,random,16,3,0.1875,0.35,6,0.32,2,0.26,2.14,1.0
hebbian,1,random,16,3,0.1875,0.4,6,0.26,2,0.26,2.14,1.0
hebbian,1,random,16,4,0.25,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,16,4,0.25,0.05,1,0.8,0,0.0,2.24,1.0
hebbian,1,random,16,4,0.25,0.1,2,0.74,0,0.0,2.44,1.0
hebbian,1,random,16,4,0.25,0.15,2,0.66,0,0.0,2.32,1.0
hebbian,1,random,16,4,0.25,0.2,3,0.74,0,0.0,2.36,1.0
hebbian,1,random,16,4,0.25,0.25,4,0.54,0,0.0,2.52,1.0
hebbian,1,random,16,4,0.25,0.3,5,0.38,0,0.0,2.6,1.0
hebbian,1,random,16,4,0.25,0.35,6,0.26,0,0.0,2.72,1.0
hebbian,1,random,16,4,0.25,0.4,6,0.3,0,0.0,2.58,1.0
hebbian,1,random,16,5,0.3125,0.0,0,0.7,0,0.44,1.3,1.0
hebbian,1,random,16,5,0.3125,0.05,1,0.66,0,0.44,2.02,1.0
hebbian,1,random,16,5,0.3125,0.1,2,0.5,0,0.44,2.16,1.0
hebbian,1,random,16,5,0.3125,0.15,2,0.58,0,0.44,2.08,1.0
hebbian,1,random,16,5,0.3125,0.2,3,0.34,0,0.44,2.24,1.0
hebbian,1,random,16,5,0.3125,0.25,4,0.28,0,0.44,2.24,1.0
hebbian,1,random,16,5,0.3125,0.3,5,0.16,0,0.44,2.42,1.0
hebbian,1,random,16,5,0.3125,0.35,6,0.12,0,0.44,2.28,1.0
hebbian,1,random,16,5,0.3125,0.4,6,0.14,0,0.44,2.32,1.0
