experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,k_flips
seqpert_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1
seqpert_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1
seqpert_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1
seqpert_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,1
seqpert_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,1
