experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_even,t_odd,ratio
bifurc,even_odd,_todd24,3,0.2,2,b107,bd07,True,25,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,bc97,fca6,True,45,wrong_pattern,0,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,b44f,a75b,True,55,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,6,f7a3,a6b6,True,11,wrong_pattern,2,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,9587,a797,True,55,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,ad67,bd07,True,55,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,be0b,fd4b,True,51,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,7c06,bd07,True,55,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,2,bd15,bd07,True,45,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,2,a507,bf97,True,55,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,b406,bd07,True,55,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,b805,bd07,True,45,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,b047,a75b,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,5,b91c,bd07,True,45,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,3517,bf97,True,49,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,2,bd57,bd07,True,11,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,1,bc07,bd07,True,11,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,bd52,bd07,True,21,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,1903,1905,True,25,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,2,bd0e,fd4b,True,51,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,b567,a75b,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,1da7,58a4,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,f707,a797,True,89,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,2,b707,a797,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,5,9de6,fca6,True,35,wrong_pattern,0,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,1,3d07,bd07,True,25,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,7,6c0c,5949,True,45,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,e707,a75b,True,35,spurious,-1,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,3d16,bd07,True,45,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,bd24,fca6,True,59,wrong_pattern,0,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,4,3c16,bd07,True,45,correct,3,True,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,3,bdb7,fca6,True,21,wrong_pattern,0,False,10,24,2.4
bifurc,even_odd,_todd24,3,0.2,1,b907,bd07,True,11,correct,3,True,10,24,2.4
