experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,testset,n_classes,conflicts_G
r6_hd3,even_odd,_parity,0,0.125,2,f8b6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f4b6,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ecb6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dcb6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bcb6,fca6,True,11,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7cb6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fcc6,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc06,bd07,True,21,wrong_pattern,3,False,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fd86,fca6,True,35,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fe86,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f886,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,f486,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,ec86,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,dc86,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,bc86,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,7c86,fca6,True,25,correct,0,True,parity,hd3,2,19
r6_hd3,even_odd,_parity,0,0.125,2,fc66,fca6,True,59,correct,0,True,parity,hd3,2,19
