experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,src_pat,tgt_pat,step
cascade_step1,even_odd,_s1,1,0.2,2,1391,395,True,11,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1b9d,395,True,49,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,1090,58a4,True,49,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,19b4,58a4,True,11,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,b97,1b95,True,45,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,4b97,1b95,True,45,correct,1,True,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1bb5,58a4,True,51,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,1bbf,2b4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,db95,1905,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,4995,1905,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,7,9877,fca6,True,69,wrong_pattern,0,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,3,1294,2b4,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,9990,58a4,True,45,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,5e17,1905,True,69,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,4bfd,2b4,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,4,31d,359,True,11,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,1b11,395,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,be7,58a4,True,55,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,4785,395,True,21,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1b9d,395,True,49,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,2,5b15,1905,True,35,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,1,1395,395,True,11,spurious,-1,False,1.0,2.0,1
cascade_step1,even_odd,_s1,1,0.2,5,5fa7,58a4,True,45,spurious,-1,False,1.0,2.0,1
