experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,category,testset,delays,conflicts_G
r7_hd3,coloring,_all_equal,2,0.1875,3,a5f6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a3f6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aff6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b7f6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,87f6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e7f6,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,27f6,a6b6,True,21,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,a0f6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,acf6,aeb6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b4f6,b6b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,84f6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e4f6,e4fa,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,24f6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,aaf6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,b2f6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,82f6,82b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,e2f6,e6f6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,22f6,22b6,False,1380,oscillated,-1,False,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,bef6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
r7_hd3,coloring,_all_equal,2,0.1875,3,8ef6,a6b6,True,41,correct,2,True,all_equal,colour+nosep,hd3,"[20, 20, 20, 20, 20, 20]",0
