experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_odd
timing_sweep,even_odd,_todd6,1,0.45,8,b607,bd07,True,33,wrong_pattern,3,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,4a24,58a4,True,11,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,a854,2b4,True,57,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,4,73d5,1b95,True,39,correct,1,True,6
timing_sweep,even_odd,_todd6,1,0.45,4,bd0,359,True,39,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,9,6f58,a75b,True,21,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,77e4,fca6,True,25,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,12,f0e2,fca6,True,21,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,6,7e9c,fca6,True,19,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,1d51,359,True,23,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,9,4252,42f8,True,7,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,10,90eb,359,True,35,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,11,264b,a75b,True,11,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,a91e,a75b,True,37,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,bbdf,a75b,True,25,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,9,8e29,a75b,True,29,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,80dd,330,False,740,oscillated,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,6,3ed9,a75b,True,39,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,ebb5,2b4,True,39,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,c20d,359,True,21,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,ff44,bd07,True,31,wrong_pattern,3,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,3ffe,a6b6,True,17,wrong_pattern,2,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,ebfd,2b4,True,21,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,7185,1905,True,11,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,c3d5,359,True,19,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,fe1d,bd07,True,27,wrong_pattern,3,False,6
timing_sweep,even_odd,_todd6,1,0.45,9,1e7a,e6fa,True,19,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,10,6524,fca6,True,39,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,10,200b,359,True,19,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,d885,58a4,True,17,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,6,52dc,58a4,True,23,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,4,9894,58a4,True,21,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,5,1a36,58a4,True,27,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,6,9b67,1905,True,25,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,4,19d6,58a4,True,37,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,9,1476,fca6,True,43,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,e1b4,58a4,True,37,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,6,3bc2,58a4,True,43,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,18e6,58a4,True,11,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,c590,e6fa,True,33,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,d347,5949,True,39,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,7,2e57,a75b,True,43,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,8,dcf4,fca6,True,19,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,1,0.45,4,2bbd,395,True,7,spurious,-1,False,6
timing_sweep,even_odd,_todd6,1,0.45,12,e05e,e6fa,True,23,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,7,2062,42f8,True,19,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,11,5c99,5964,False,740,oscillated,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,7,7f32,bd07,True,31,wrong_pattern,3,False,6
timing_sweep,even_odd,_todd6,2,0.45,4,eaa6,fca6,True,17,wrong_pattern,0,False,6
timing_sweep,even_odd,_todd6,2,0.45,10,1e1,359,True,23,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,4,b5b7,bf97,True,7,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,9,3c11,a797,True,25,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,9,3810,58a4,True,37,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,9,eb00,5949,True,29,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,7,baa1,58a4,True,19,spurious,-1,False,6
timing_sweep,even_odd,_todd6,2,0.45,7,fcf0,fca6,True,21,wrong_pattern,0,False,6
