experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,timeout_mult
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,9,c979,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,10,ca48,4949,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,9,ca4b,4959,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,8,cc49,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,8,cd5a,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,7,cd6b,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,8,cdc8,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,4,d3b5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,d3b6,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,d697,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,d6b0,b6a6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,d6b2,b6a6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,d6b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,d7b4,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,7,e1fc,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,6,e1fe,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,6,e47c,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,e4fe,e6ea,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,8,e85b,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,6,e94b,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,9,ea69,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,7,ec5a,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,0,-1.0,7,ecc9,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,6,edcb,ed4b,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,4,f296,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,5,f297,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f2b6,b6b6,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,2,-1.0,3,f696,b6b6,False,1956,oscillated,-1,False,colour6,1
