experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,source_fp,flip_bit,is_stored
attstab_depth,depth,,2,0.1875,3,22b4,2b4,True,4,spurious,-1,False,02b4,13,False
attstab_depth,depth,,2,0.3125,5,42b4,2b4,True,11,spurious,-1,False,02b4,14,False
attstab_depth,depth,,2,0.1875,3,82b4,2b4,True,4,spurious,-1,False,02b4,15,False
attstab_depth,depth,,2,0.0625,1,a6b7,a6b6,True,4,correct,2,True,a6b6,0,True
attstab_depth,depth,,2,0.0625,1,a6b4,a6b6,True,4,correct,2,True,a6b6,1,True
attstab_depth,depth,,2,0.0625,1,a6b2,a6b6,True,6,correct,2,True,a6b6,2,True
attstab_depth,depth,,2,0.0625,1,a6be,a6b6,True,6,correct,2,True,a6b6,3,True
attstab_depth,depth,,2,0.0625,1,a6a6,a6b6,True,5,correct,2,True,a6b6,4,True
attstab_depth,depth,,2,0.0625,1,a696,a6b6,True,4,correct,2,True,a6b6,5,True
attstab_depth,depth,,2,0.0625,1,a6f6,a6b6,True,6,correct,2,True,a6b6,6,True
attstab_depth,depth,,2,0.0625,1,a636,a6b6,True,9,correct,2,True,a6b6,7,True
attstab_depth,depth,,2,0.0625,1,a7b6,a6b6,True,4,correct,2,True,a6b6,8,True
attstab_depth,depth,,2,0.0625,1,a4b6,a6b6,True,5,correct,2,True,a6b6,9,True
attstab_depth,depth,,2,0.0625,1,a2b6,a6b6,True,4,correct,2,True,a6b6,10,True
attstab_depth,depth,,2,0.0625,1,aeb6,b6b6,False,740,oscillated,-1,False,a6b6,11,True
attstab_depth,depth,,2,0.0625,1,b6b6,aeb6,False,740,oscillated,-1,False,a6b6,12,True
attstab_depth,depth,,2,0.0625,1,86b6,a6b6,True,4,correct,2,True,a6b6,13,True
attstab_depth,depth,,2,0.0625,1,e6b6,a6b6,True,11,correct,2,True,a6b6,14,True
attstab_depth,depth,,2,0.0625,1,26b6,a6b6,True,4,correct,2,True,a6b6,15,True
attstab_depth,depth,,1,0.5,8,5948,5949,True,4,spurious,-1,False,5949,0,False
attstab_depth,depth,,1,0.5,8,594b,5949,True,4,spurious,-1,False,5949,1,False
attstab_depth,depth,,1,0.375,6,594d,5949,True,6,spurious,-1,False,5949,2,False
attstab_depth,depth,,1,0.375,6,5941,5949,True,6,spurious,-1,False,5949,3,False
attstab_depth,depth,,1,0.375,6,5959,5949,True,5,spurious,-1,False,5949,4,False
attstab_depth,depth,,1,0.5,8,5969,5949,True,4,spurious,-1,False,5949,5,False
attstab_depth,depth,,1,0.375,6,5909,5949,True,6,spurious,-1,False,5949,6,False
attstab_depth,depth,,1,0.375,6,59c9,5949,True,9,spurious,-1,False,5949,7,False
attstab_depth,depth,,1,0.5,8,5849,5949,True,4,spurious,-1,False,5949,8,False
attstab_depth,depth,,1,0.375,6,5b49,5949,True,5,spurious,-1,False,5949,9,False
attstab_depth,depth,,1,0.5,8,5d49,5949,True,4,spurious,-1,False,5949,10,False
attstab_depth,depth,,1,0.5,8,5149,4949,False,740,oscillated,-1,False,5949,11,False
attstab_depth,depth,,1,0.5,8,4949,5149,False,740,oscillated,-1,False,5949,12,False
attstab_depth,depth,,1,0.5,8,7949,5949,True,4,spurious,-1,False,5949,13,False
attstab_depth,depth,,1,0.375,6,1949,5949,True,11,spurious,-1,False,5949,14,False
attstab_depth,depth,,1,0.5,8,d949,5949,True,4,spurious,-1,False,5949,15,False
attstab_depth,depth,,3,0.3125,5,fd4a,fd4b,True,4,spurious,-1,False,fd4b,0,False
attstab_depth,depth,,3,0.3125,5,fd49,fd4b,True,4,spurious,-1,False,fd4b,1,False
attstab_depth,depth,,3,0.1875,3,fd4f,fd4b,True,6,spurious,-1,False,fd4b,2,False
attstab_depth,depth,,3,0.1875,3,fd43,fd4b,True,6,spurious,-1,False,fd4b,3,False
attstab_depth,depth,,3,0.3125,5,fd5b,fd4b,True,5,spurious,-1,False,fd4b,4,False
attstab_depth,depth,,3,0.3125,5,fd6b,fd4b,True,4,spurious,-1,False,fd4b,5,False
attstab_depth,depth,,3,0.1875,3,fd0b,fd4b,True,6,spurious,-1,False,fd4b,6,False
attstab_depth,depth,,3,0.3125,5,fdcb,fd4b,True,9,spurious,-1,False,fd4b,7,False
attstab_depth,depth,,3,0.3125,5,fc4b,fd4b,True,4,spurious,-1,False,fd4b,8,False
attstab_depth,depth,,3,0.3125,5,ff4b,fd4b,True,5,spurious,-1,False,fd4b,9,False
attstab_depth,depth,,3,0.3125,5,f94b,fd4b,True,4,spurious,-1,False,fd4b,10,False
attstab_depth,depth,,3,0.3125,5,f54b,ed4b,False,740,oscillated,-1,False,fd4b,11,False
attstab_depth,depth,,3,0.3125,5,ed4b,f54b,False,740,oscillated,-1,False,fd4b,12,False
attstab_depth,depth,,3,0.3125,5,dd4b,fd4b,True,4,spurious,-1,False,fd4b,13,False
attstab_depth,depth,,3,0.1875,3,bd4b,fd4b,True,11,spurious,-1,False,fd4b,14,False
attstab_depth,depth,,3,0.3125,5,7d4b,fd4b,True,4,spurious,-1,False,fd4b,15,False
attstab_depth,depth,,1,0.4375,7,358,359,True,4,spurious,-1,False,0359,0,False
attstab_depth,depth,,1,0.4375,7,35b,359,True,4,spurious,-1,False,0359,1,False
attstab_depth,depth,,1,0.3125,5,35d,359,True,6,spurious,-1,False,0359,2,False
