experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_odd,noise_seed,delay_scale
fp_verify,depth,,3,0.0625,1,bd17,bd17,False,740,oscillated,-1,False,,,
fp_verify,depth,,3,0.0625,1,bd27,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bd47,bd07,True,6,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bd87,bd07,True,9,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bc07,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,bf07,bf07,False,740,oscillated,-1,False,,,
fp_verify,depth,,3,0.0625,1,b907,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,b507,bd07,True,7,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,ad07,bd07,True,7,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,9d07,bd07,True,4,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,fd07,bd07,True,11,correct,3,True,,,
fp_verify,depth,,3,0.0625,1,3d07,bd07,True,4,correct,3,True,,,
fp_verify,depth,,0,1.0,16,359,359,True,0,spurious,-1,False,,,
fp_verify,depth,,1,1.0,16,e46a,e46a,True,0,spurious,-1,False,,,
fp_verify,depth,,2,1.0,16,5949,5949,True,0,spurious,-1,False,,,
fp_verify,depth,,3,1.0,16,42f8,42f8,True,0,spurious,-1,False,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
fp_verify,even_odd,,0,0.0,0,fca6,fca6,True,0,correct,0,True,,,
fp_verify,even_odd,,1,0.0,0,1b95,1b95,True,0,correct,1,True,,,
fp_verify,even_odd,,2,0.0,0,a6b6,a6b6,True,0,correct,2,True,,,
fp_verify,even_odd,,3,0.0,0,bd07,bd07,True,0,correct,3,True,,,
